State	ID	宽	高	方向	方向数	起始角度	角度跨度	大小数	最小大小	最大大小	大小	背景	放置	最大比划密度	最小比划密度	时间	速度	计算时间	绘画时间		边缘检测
Enable	C04T03I01N011	102	77	随机	9	60	60	6	20	26	随机	取自画纸	均匀分布	18	15	50	2	22	28	笔画下面中心	0
Enable	C04T04I01N011	102	77	随机	9	120	60	6	20	26	随机	取自画纸	均匀分布	18	4	50	2	22	28	笔画下面中心	0
Enable	C04T05I01N011	102	77	随机	9	120	60	6	20	26	随机	取自画纸	均匀分布	18	4	50	2	22	28	笔画下面中心	0
Enable	C04T06I01N011	102	77	随机	9	120	60	6	20	26	随机	取自画纸	均匀分布	18	4	50	2	22	28	笔画下面中心	0
Enable	C04T07I01N011	102	77	随机	9	120	60	6	20	26	随机	取自画纸	均匀分布	18	4	50	2	22	28	笔画下面中心	0
Enable	C04T08I01N011	102	77	随机	9	120	60	6	20	26	随机	取自画纸	均匀分布	18	4	50	2	22	28	笔画下面中心	0
Enable	C04T09I01N011	102	77	随机	9	120	60	6	20	26	随机	取自画纸	均匀分布	18	4	50	2	22	28	笔画下面中心	0
Enable	C04T10I01N011	102	77	随机	9	120	60	6	20	26	随机	取自画纸	均匀分布	18	4	50	2	22	28	笔画下面中心	0
Enable	C05T03I01N011	102	77	随机	9	120	60	6	20	26	随机	取自画纸	均匀分布	18	4	50	2	22	28	笔画下面中心	0
Enable	C05T04I01N011	102	77	随机	9	120	60	6	20	26	随机	取自画纸	均匀分布	18	4	50	2	22	28	笔画下面中心	0
Enable	C05T05I01N011	102	77	随机	9	120	60	6	20	26	随机	取自画纸	均匀分布	18	4	50	2	22	28	笔画下面中心	0
Enable	C05T06I01N011	102	77	随机	9	120	60	6	20	26	随机	取自画纸	均匀分布	18	4	50	2	22	28	笔画下面中心	0
Enable	C05T07I01N011	102	77	随机	9	120	60	6	20	26	随机	取自画纸	均匀分布	18	4	50	2	22	28	笔画下面中心	0
Enable	C05T08I01N011	102	77	随机	9	120	60	6	20	26	随机	取自画纸	均匀分布	18	4	50	2	22	28	笔画下面中心	0
Enable	C05T09I01N011	102	77	随机	9	120	60	6	20	26	随机	取自画纸	均匀分布	18	4	50	2	22	28	笔画下面中心	0
Enable	C05T10I01N011	102	77	随机	9	120	60	6	20	26	随机	取自画纸	均匀分布	18	4	50	2	22	28	笔画下面中心	0
Enable	C06T03I01N011	102	77	随机	9	120	60	6	20	26	随机	取自画纸	均匀分布	18	4	50	2	22	28	笔画下面中心	0
Enable	C06T04I01N011	102	77	随机	9	120	60	6	20	26	随机	取自画纸	均匀分布	18	4	50	2	22	28	笔画下面中心	0
Enable	C06T05I01N011	102	77	随机	9	120	60	6	20	26	随机	取自画纸	均匀分布	18	4	50	2	22	28	笔画下面中心	0
Enable	C06T06I01N011	102	77	随机	9	120	60	6	20	26	随机	取自画纸	均匀分布	18	4	50	2	22	28	笔画下面中心	0
Enable	C06T07I01N011	102	77	随机	9	120	60	6	20	26	随机	取自画纸	均匀分布	18	4	50	2	22	28	笔画下面中心	0
Enable	C06T08I01N011	102	77	随机	9	120	60	6	20	26	随机	取自画纸	均匀分布	18	4	50	2	22	28	笔画下面中心	0
Enable	C06T09I01N011	102	77	随机	9	120	60	6	20	26	随机	取自画纸	均匀分布	18	4	50	2	22	28	笔画下面中心	0
Enable	C06T10I01N011	102	77	随机	9	120	60	6	20	26	随机	取自画纸	均匀分布	18	4	50	2	22	28	笔画下面中心	0
Enable	C07T03I01N011	102	77	随机	9	120	60	6	20	26	随机	取自画纸	均匀分布	18	4	50	2	22	28	笔画下面中心	0
Enable	C07T04I01N011	102	77	随机	9	120	60	6	20	26	随机	取自画纸	均匀分布	18	4	50	2	22	28	笔画下面中心	0
Enable	C07T05I01N011	102	77	随机	9	120	60	6	20	26	随机	取自画纸	均匀分布	18	4	50	2	22	28	笔画下面中心	0
Enable	C07T06I01N011	102	77	随机	9	120	60	6	20	26	随机	取自画纸	均匀分布	18	4	50	2	22	28	笔画下面中心	0
Enable	C07T07I01N011	102	77	随机	9	120	60	6	20	26	随机	取自画纸	均匀分布	18	4	50	2	22	28	笔画下面中心	0
Enable	C07T08I01N011	102	77	随机	9	120	60	6	20	26	随机	取自画纸	均匀分布	18	4	50	2	22	28	笔画下面中心	0
Enable	C07T09I01N011	102	77	随机	9	120	60	6	20	26	随机	取自画纸	均匀分布	18	4	50	2	22	28	笔画下面中心	0
Enable	C07T10I01N011	102	77	随机	9	120	60	6	20	26	随机	取自画纸	均匀分布	18	4	50	2	22	28	笔画下面中心	0
Enable	C08T03I01N011	102	77	随机	9	120	60	6	20	26	随机	取自画纸	均匀分布	18	4	50	2	22	28	笔画下面中心	0
Enable	C08T04I01N011	102	77	随机	9	120	60	6	20	26	随机	取自画纸	均匀分布	18	4	50	2	22	28	笔画下面中心	0
Enable	C08T05I01N011	102	77	随机	9	120	60	6	20	26	随机	取自画纸	均匀分布	18	4	50	2	22	28	笔画下面中心	0
Enable	C08T06I01N011	102	77	随机	9	120	60	6	20	26	随机	取自画纸	均匀分布	18	4	50	2	22	28	笔画下面中心	0
Enable	C08T07I01N011	102	77	随机	9	120	60	6	20	26	随机	取自画纸	均匀分布	18	4	50	2	22	28	笔画下面中心	0
Enable	C08T08I01N011	102	77	随机	9	120	60	6	20	26	随机	取自画纸	均匀分布	18	4	50	2	22	28	笔画下面中心	0
Enable	C08T09I01N011	102	77	随机	9	120	60	6	20	26	随机	取自画纸	均匀分布	18	4	50	2	22	28	笔画下面中心	0
Enable	C08T10I01N011	102	77	随机	9	120	60	6	20	26	随机	取自画纸	均匀分布	18	4	50	2	22	28	笔画下面中心	0
Enable	C09T03I01N011	102	77	随机	9	120	60	6	20	26	随机	取自画纸	均匀分布	18	4	50	2	22	28	笔画下面中心	0
